cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
ZA,327826,SAFRICOM,0.2565,0.5261,230
SO,327828,Somali-Optical-Networks,0.7098,0.8702,16317
CG,327829,SKYTIC-TELECOM,0.5431,0.7845,116
BW,327830,Concerotel-Botswana,0.046,0.9876,805
AO,327833,CENTRAL-8,0,0,25
ZA,327839,Woolworths,0,0,17
ZA,327840,BROADLINK,0,0,7
NG,327843,PAN-ATLANTIC-UNIVERSITY,0,0,15
TZ,327844,TISPA-TIX-MANAGEMENT,0,0,1
MU,327844,TISPA-TIX-MANAGEMENT,0,0,1
EG,327846,Wadi-Degla-Investments-WDI,0,0,23
GH,327848,HFC-Bank,0,0,25
ZA,327849,DIRECTEL-COMMUNICATIONS,0.9389,0.1145,262
ZA,327850,XON-SYSTEMS,0,0,6
ZA,327858,CloudConnect-Networks,0.3612,0.5017,299
TZ,327859,Capital-Technologies,0.8529,0.9559,68
CV,327862,NOSi,0.3901,0.4103,546
CD,327870,GBS-DRC,0,0,1
ZA,327872,IBITS-Internet,0.9596,0.1111,198
GA,327876,Societe-TLDC,0,0,7
CD,327879,AJYWA-TELECOM,0.9835,0.8678,121
ZA,327880,ShowMax,0,0,3
KE,327884,I-and-M-Bank,0,0,21
TZ,327885,Viettel-Tanzania,0.321,0.37,65313
GH,327886,Central-University-AS,0,0,12
TZ,327888,NMB-BANK,0,0,1
ZA,327889,WATCHTOWER-RSA,0,0,19
NG,327891,NANOCOM,0.1714,0.4571,140
ZA,327892,BETHNET-CC,0.2316,0.5474,95
ZA,327893,LEGENDS-CONNECT,0.8193,0.8554,83
ZA,327894,Desktop-Network-Solutions,0,0,9
NG,327895,MEGAFAST-NETWORKS,0.1493,0.7015,67
ZA,327897,ATEC-Systems,0.6607,0.1071,56
NG,327898,CBC-EMEA,0.0339,0.3644,236
TZ,327900,SIMPLYCONNECT-Simply-Computers,0.3656,0.9677,186
ZA,327901,NET1337,0.254,0.7071,693
SL,327903,MICG,0.4716,0.898,1480
KE,327906,EMBARQ,0,0,48
ZA,327907,Paw-Paw-Wireless,0,0,27
ZA,327909,iONLINE-ISP,0,0,22
ZA,327911,Syniq-Broadband,0,0,39
TZ,327912,National-Health-Insurance-Fund,0,0,10
MA,327917,DGSSI,0,0,8
MU,327919,MC-Vision,0,0,0
CM,327920,AVS-TELECOM-SARL,0,0,0
ZA,327922,Perlcom-iSPOT,0.944,0.984,125
NG,327924,EXCELSIMO-NETWORKS,0.5547,0.8047,128
KE,327927,Laborex-Kenya,0,0,1
